,Accuracy,ROC AUC,Precision,F1-score,Time
0,0.5,0.634548611111111,0.0,0.0,0m45s
1,0.5,0.7361111111111112,0.5,0.6666666666666666,0m36s
2,0.5416666666666666,0.724826388888889,1.0,0.15384615384615385,0m51s
3,0.5208333333333334,0.7951388888888888,0.5106382978723404,0.676056338028169,1m15s
4,0.5,0.6701388888888891,0.0,0.0,1m15s
5,0.6458333333333334,0.7309027777777779,0.7333333333333333,0.5641025641025641,1m9s
6,0.5833333333333334,0.609375,0.5588235294117647,0.6551724137931034,0m43s
7,0.5,0.6111111111111112,0.5,0.6666666666666666,0m54s
8,0.5,0.5520833333333334,0.5,0.6666666666666666,0m42s
9,0.5833333333333334,0.6753472222222223,0.5526315789473685,0.6774193548387096,1m15s
